numberOfPeople,numberOfChildren,squareMeters,homeType,ELECTRIC_VEHICLE,TV,DISH_WASHER,ELECTRIC_HEATING,SAUNA,CABLE_BOX,COFFEE_MACHINE,TUMBLE_DRYER,FREEZER,HOB,WASHING_MACHINE,GAME_CONSOLE,REFRIGERATOR,TOASTER,HOME_BATTERY,MICROWAVE,IRON,GRILL,COMPUTER,OVEN,ELECTRIC_SHOWER,KETTLE,energy
7.0,3.0,220.0,1,0,3,2,0,0,3,1,1,2,3,2,2,0,2,0,2,0,1,1,2,3,0,1780.7417391882516
2.0,0.0,160.0,0,0,1,1,0,0,0,1,0,1,1,2,0,2,1,0,1,1,0,1,1,1,0,785.9214588998999
2.0,1.0,69.0,1,0,2,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,376.85115488257503
1.0,0.0,34.0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,351.90407261476946
3.0,1.0,150.0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,638.7696209062501
3.0,1.0,80.0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,898.6127068492312
3.0,1.0,125.0,0,0,3,1,0,0,3,1,1,0,1,1,2,1,1,0,1,0,0,1,2,1,0,1114.319974227384
3.0,1.0,220.0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,2,1,0,1231.8769685996128
3.0,0.0,180.0,0,0,2,2,0,0,1,1,1,1,2,1,1,2,1,0,1,1,1,2,1,1,0,1422.6030150127765
1.0,0.0,65.0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,253.42661419485
2.0,0.0,140.0,0,0,3,1,0,0,3,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,1150.1739403029346
4.0,0.0,100.0,1,0,1,1,2,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,4,1,1,600.6421072943851
2.0,0.0,150.0,0,0,2,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,730.9095178254751
2.0,0.0,140.0,1,0,3,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,908.92951238466
2.0,1.0,81.0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,708.9893803385125
4.0,2.0,350.0,0,0,3,2,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,2,1,0,2120.2852846699
