numberOfPeople,numberOfChildren,squareMeters,homeType,ELECTRIC_VEHICLE,TV,DISH_WASHER,ELECTRIC_HEATING,SAUNA,CABLE_BOX,COFFEE_MACHINE,TUMBLE_DRYER,FREEZER,HOB,WASHING_MACHINE,GAME_CONSOLE,REFRIGERATOR,TOASTER,HOME_BATTERY,MICROWAVE,IRON,GRILL,COMPUTER,OVEN,ELECTRIC_SHOWER,KETTLE,energy
3.0,0.0,83.0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1178.7665718823098
2.0,0.0,100.0,0,0,2,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,690.3229306622646
1.0,0.0,50.0,1,0,2,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,435.286862085525
3.0,1.0,110.0,0,0,1,1,0,0,1,1,0,1,1,1,1,2,1,0,1,1,1,1,1,1,1,922.309948464144
4.0,2.0,100.0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,578.2572693346234
5.0,3.0,134.0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,775.0546395097286
3.0,0.0,80.0,1,0,3,1,0,0,3,1,0,1,1,1,2,0,1,0,1,1,0,1,1,1,1,1174.6948462036837
2.0,0.0,135.0,0,0,2,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1230.0781243977417
3.0,1.0,110.0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,601.44422704952
2.0,0.0,70.0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,581.1787352213793
2.0,0.0,160.0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,958.9169425763998
4.0,1.0,160.0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1417.87284311736
2.0,0.0,80.0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,1,955.3763738815876
3.0,0.0,75.0,1,0,3,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,924.075457574338
2.0,0.0,100.0,0,0,2,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,628.8627696289941
4.0,2.0,250.0,0,0,2,1,0,0,1,2,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1051.0804619972844
4.0,0.0,196.0,0,1,3,1,2,0,3,1,0,0,1,1,2,1,1,0,1,1,0,1,2,1,0,1803.5806446854224
3.0,1.0,79.0,1,0,3,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,574.8321416667657
1.0,0.0,110.0,0,0,2,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,583.8766719562601
2.0,0.0,109.48771266540643,0,0,4,1,0,0,0,1,0,0,1,2,1,0,1,0,1,1,0,1,1,1,1,1982.4084131589616
2.0,0.0,60.0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,2,1,0,304.88458913825
5.0,3.0,100.0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,811.7459722587188
4.0,2.0,160.0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,893.4196113887502
3.0,1.0,70.0,1,0,2,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,454.0700432185941
1.0,0.0,80.0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,853.6400301710039
2.0,0.0,109.48771266540643,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,1,1,746.2331555103195
4.0,1.0,250.0,1,0,3,1,0,0,1,2,1,0,2,1,2,2,1,0,2,0,0,2,2,2,0,1549.7879136211166
2.0,0.0,84.0,1,0,2,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,2,1,0,765.9753219535601
1.0,0.0,45.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.016014964136
4.0,2.0,112.0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,781.4100085994439
1.0,0.0,60.0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,2,1,0,268.64222062047503
4.0,2.0,120.0,0,0,2,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,950.747326512441
2.0,0.0,80.0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,946.595282868408
2.0,0.0,70.0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,761.2849541684893
3.0,1.0,150.0,0,0,1,1,0,0,0,2,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,966.1666776744536
3.0,0.0,240.0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,937.2703868001844
4.0,2.0,90.0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,794.261724471465
1.0,0.0,58.0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,315.99467130666
3.0,1.0,120.0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,978.2108325265876
2.0,0.0,120.0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,681.4300497428069
3.0,1.0,100.0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,673.5531740262176
1.0,0.0,24.0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,559.5235529869782
2.0,0.0,70.0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,420.53920967812496
2.0,0.0,180.0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,297.14673102303755
4.0,2.0,124.0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1523.2481308197
1.0,0.0,55.0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,201.93001652212945
1.0,0.0,50.0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,289.12383718946995
2.0,0.0,100.0,1,0,2,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,681.9485908539658
1.0,0.0,136.0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,492.3298017508501
4.0,2.0,106.0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,2,1,1,1271.803047008235
4.0,2.0,90.0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,973.3107341235784
5.0,2.0,200.0,0,0,4,1,0,1,0,1,1,1,1,2,0,0,1,0,1,1,1,0,1,2,0,2375.7160756931253
2.0,0.0,200.0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,969.1059054190716
2.0,0.0,55.0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,3,1,0,296.72633937302606
3.0,1.0,150.0,0,0,2,1,0,0,2,1,1,0,1,1,1,0,1,0,1,0,0,1,3,1,0,879.7149769048201
2.0,0.0,134.0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,584.3514933951193
3.0,1.0,100.0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1006.7434450412612
3.0,2.0,88.0,1,0,3,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,980.8257947261998
2.0,0.0,60.0,1,0,1,1,1,0,1,1,0,2,1,1,0,1,1,0,1,1,1,1,1,1,1,632.8363892505706
1.0,0.0,150.0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,376.1446921936625
2.0,0.0,100.0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,831.5757170499216
2.0,0.0,58.0,1,0,2,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,333.43511550426564
2.0,0.0,91.0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,494.0474035768901
3.0,0.0,62.0,1,0,3,1,0,0,3,1,1,0,1,1,2,0,1,0,1,0,0,1,2,1,0,915.427525568245
2.0,0.0,80.0,1,0,1,1,1,0,1,1,1,0,1,1,3,0,0,2,1,1,0,1,0,1,1,805.2569139209202
4.0,2.0,144.0,0,1,2,1,0,0,0,1,1,0,1,1,3,0,1,0,1,0,0,1,3,1,0,1326.7432086811666
4.0,3.0,120.0,1,0,1,1,2,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1143.8713688381883
2.0,0.0,109.48771266540643,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,937.8556966269088
4.0,2.0,81.0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,407.0660609673
3.0,0.0,70.0,1,0,3,1,0,0,3,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,417.1283257457376
4.0,0.0,86.0,1,0,3,1,0,0,2,1,1,1,1,1,2,1,1,0,1,1,0,1,3,1,1,960.8894512043332
3.0,0.0,130.0,0,0,3,1,1,0,2,1,1,1,1,1,1,0,1,0,1,1,0,1,2,1,0,722.0546458865514
6.0,4.0,150.0,0,1,3,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0,536.1886829446888
2.0,0.0,87.0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,649.883412370355
3.0,1.0,95.0,1,0,2,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,934.3784971671
2.0,0.0,109.48771266540643,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,576.397710744975
1.0,0.0,63.0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,918.4891740513752
3.0,1.0,300.0,0,0,3,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1288.03415833689
8.0,0.0,250.0,0,0,7,2,0,0,7,3,2,1,2,2,2,1,2,0,2,2,1,3,1,2,0,2233.520737898411
4.0,1.0,75.0,0,0,4,1,0,0,4,1,1,1,1,1,2,2,1,0,1,1,0,1,2,1,1,1248.4594079076724
1.0,0.0,96.0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,2,1,1,871.5950639343408
2.0,0.0,95.0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,2,1,0,941.8163354120344
3.0,1.0,97.0,1,0,2,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,0,473.84805522393214
2.0,0.0,95.0,1,0,2,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,996.9188919011788
3.0,1.0,130.0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,849.5279987044999
1.0,0.0,50.0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,349.34964671281307
2.0,2.0,98.0,1,0,2,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,903.4655634016092
5.0,2.0,111.0,0,0,2,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,912.083041465575
3.0,1.0,75.0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,453.8462549764034
1.0,0.0,50.0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,383.154494000068
2.0,0.0,72.0,1,0,2,1,0,0,1,1,0,0,1,1,2,1,1,0,1,0,0,1,2,1,1,1022.7719236421556
3.0,1.0,85.0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,444.3003862948161
3.0,1.0,96.0,1,0,1,1,0,0,1,1,0,0,1,0,2,0,1,0,1,0,0,0,2,1,0,549.416045971575
2.0,0.0,75.0,0,0,2,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1075.6773125628583
2.0,0.0,90.0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,514.8500122795799
4.0,2.0,120.0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,790.5408424023857
4.0,2.0,80.0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,599.56211462779
4.0,2.0,180.0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1165.315828328153
1.0,0.0,68.0,1,0,2,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,367.8713059097444
2.0,0.0,50.0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,400.84411200108747
2.0,0.0,140.0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,3,1,0,802.7723613781346
1.0,0.0,60.0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,303.7670571151355
3.0,1.0,80.0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,649.0232285398288
4.0,1.0,216.0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,994.16263204595
3.0,1.0,90.0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1798.470385097767
2.0,0.0,200.0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,767.5365681597889
1.0,0.0,83.0,1,0,2,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,807.1527159105309
1.0,0.0,55.0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,334.41730603273453
2.0,0.0,120.0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,2,2,1,0,573.5793382352482
2.0,1.0,75.0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,540.8582327385556
2.0,0.0,120.0,1,0,2,1,0,0,0,0,0,0,1,1,8,0,1,0,1,1,0,1,2,1,0,883.4696679489001
4.0,2.0,148.0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,3,1,0,1161.43392218958
2.0,0.0,90.0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,567.5853413499857
2.0,0.0,109.48771266540643,1,0,6,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,2,0,1282.68967640256
4.0,2.0,200.0,1,0,3,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,2,1,1,1,0,908.2094835695252
2.0,0.0,76.0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,735.3862527402331
4.0,2.0,140.0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1271.73978380609
1.0,0.0,73.0,1,0,2,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,359.2406551298226
3.0,2.0,140.0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,457.55397702102863
4.0,2.0,56.0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,2,1,1,689.82355188285
4.0,2.0,180.0,0,0,2,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,949.300958263325
1.0,0.0,35.0,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,359.2326381356778
2.0,0.0,120.0,1,0,3,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,2,1,0,377.5534245498086
5.0,3.0,120.0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,2,1,0,1411.0500171305996
1.0,0.0,41.0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0,289.3883948551655
1.0,0.0,42.0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,302.4636431810743
3.0,0.0,180.0,0,0,3,2,0,1,1,1,2,2,1,2,0,2,1,0,2,1,0,1,2,1,1,2013.3429898328463
4.0,2.0,62.0,1,0,2,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,645.1464216113293
3.0,1.0,110.0,0,0,1,1,0,0,0,1,1,1,1,1,2,1,1,0,1,1,0,1,1,0,0,723.1039883458715
4.0,2.0,125.0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1093.548901661282
3.0,0.0,140.0,1,0,2,1,0,0,2,1,0,1,1,1,1,2,1,0,1,1,0,1,3,2,1,1369.9342941963002
2.0,0.0,110.0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,600.3963788038201
2.0,0.0,70.0,1,0,2,1,0,0,2,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,573.233607627811
2.0,0.0,110.0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,593.7769724704269
1.0,0.0,55.0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,419.52592797764487
1.0,0.0,50.0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,340.2722771032166
1.0,0.0,52.0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,453.6035254302322
5.0,3.0,150.0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,903.4593472649572
2.0,0.0,180.0,0,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,1092.3208359565288
1.0,0.0,46.0,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,412.6003608354773
2.0,0.0,85.0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,753.5325667112502
3.0,1.0,100.0,1,0,2,1,0,0,2,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,526.6526473198222
4.0,2.0,100.0,1,1,1,1,1,0,2,1,1,0,1,1,2,0,1,0,1,1,0,0,2,2,0,1576.506042279578
5.0,3.0,104.0,0,0,4,1,0,0,2,1,1,0,1,1,2,0,1,0,1,1,1,1,1,1,0,760.9250168178643
1.0,0.0,95.0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2,1,0,699.7788734720399
2.0,0.0,109.48771266540643,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,2,1,0,577.6291787499124
2.0,0.0,210.0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1241.137352584367
3.0,1.0,150.0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1104.4584075112884
2.0,1.0,40.0,1,0,2,0,0,0,1,1,0,0,1,1,2,0,0,0,1,0,0,0,2,1,0,442.7671368620482
6.0,2.0,150.0,1,0,3,1,0,0,0,2,1,0,1,1,1,0,1,0,1,1,0,1,3,1,1,1570.4038625927378
6.0,4.0,180.0,0,0,4,1,0,0,0,1,1,1,1,1,1,2,1,0,1,1,1,0,3,1,0,1938.5689859432916
3.0,1.0,250.0,1,0,4,2,0,0,0,2,1,0,2,2,2,2,2,0,2,2,0,2,4,2,0,682.644266189028
1.0,0.0,109.48771266540643,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,223.96354608766077
3.0,0.0,160.0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1009.2186016821928
2.0,0.0,80.0,1,0,3,1,0,0,0,1,1,1,1,1,2,0,1,0,1,1,0,1,3,1,0,758.8030389203902
2.0,0.0,109.48771266540643,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,460.4899034543059
2.0,0.0,107.0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,746.5752304259586
1.0,0.0,23.0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,175.5816109440808
2.0,2.0,115.0,1,0,2,1,0,0,1,1,1,1,1,1,1,1,2,0,1,0,1,1,0,1,0,683.0661940444558
3.0,1.0,120.0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1160.0458986735584
3.0,1.0,85.0,1,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,450.23588955985167
1.0,0.0,90.0,1,0,2,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,326.8698414715138
1.0,0.0,55.0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,695.6867841828616
2.0,0.0,78.0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,383.8260340990778
2.0,0.0,112.0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,721.8231335847001
7.0,5.0,140.0,0,0,4,1,1,0,3,1,1,0,1,2,1,0,1,0,1,0,0,1,1,1,0,1473.9318021701429
3.0,1.0,109.48771266540643,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,789.4068761762915
3.0,0.0,109.0,1,0,3,1,0,0,0,2,1,0,1,1,1,0,1,0,1,0,0,0,3,1,0,785.06301305764
1.0,0.0,35.0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,549.0502041497881
5.0,0.0,114.0,0,0,5,1,2,0,1,1,1,1,1,1,1,2,1,0,1,1,1,1,2,1,2,1919.1490811537003
1.0,0.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,374.297253659342
1.0,0.0,70.0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,631.2675592779774
2.0,0.0,120.0,0,1,3,1,0,0,3,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,925.7317279340914
1.0,0.0,60.0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,166.3071159330222
4.0,2.0,150.0,0,0,4,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,3,1,0,1137.7365535667832
4.0,0.0,180.0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1340.5449305344346
4.0,2.0,220.0,0,0,1,1,0,1,2,0,1,1,1,1,1,1,1,1,0,0,0,1,2,1,0,1267.2758878749214
2.0,0.0,74.0,1,0,2,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,681.1126837652249
2.0,0.0,80.0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,329.8614835991057
2.0,0.0,110.0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,959.79967728862
2.0,0.0,116.0,0,0,3,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,2,1,0,649.0816162398725
2.0,0.0,160.0,0,1,3,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,471.7683868008788
2.0,0.0,105.0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,882.25412221482
2.0,0.0,58.0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,680.7571860948
1.0,0.0,64.0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,256.71133683191994
4.0,2.0,90.0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,498.03036388208574
3.0,1.0,130.0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,763.7273396112518
4.0,2.0,73.0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1467.6954400539598
4.0,2.0,160.0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,2,1,0,1031.4847952041898
3.0,1.0,100.0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,866.8942143248538
4.0,2.0,247.0,0,0,4,1,0,0,1,2,1,0,1,1,1,1,1,0,1,1,0,1,2,1,0,2302.3300971633503
4.0,2.0,160.0,0,0,4,1,0,0,0,1,1,1,1,1,2,1,0,0,1,1,0,1,1,1,0,1041.4109659746723
3.0,0.0,133.0,1,0,3,1,0,0,2,2,1,0,1,1,1,0,1,0,1,2,0,1,3,1,0,568.208445335125
4.0,2.0,125.0,1,1,2,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,699.1914618381342
1.0,0.0,45.0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,285.13336692252
2.0,0.0,136.0,1,0,2,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,3,1,0,389.612323411695
4.0,2.0,200.0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,3,1,1,2253.6199946540505
1.0,0.0,109.48771266540643,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,462.58334120944
1.0,0.0,52.0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,342.21717808770006
4.0,2.0,150.0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,539.8705309378114
2.0,0.0,180.0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,0,1328.93886463589
2.0,0.0,60.0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,670.0983503608578
2.0,0.0,65.0,1,0,2,1,0,0,2,1,0,1,1,1,0,0,1,0,0,1,0,1,2,1,0,846.9821591404447
4.0,3.0,86.0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,4,1,0,1486.266446636513
2.0,0.0,300.0,0,1,2,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1068.4713683471914
4.0,2.0,160.0,0,0,3,1,0,0,1,1,1,1,1,1,2,2,1,0,1,1,0,1,3,1,0,902.5875561295718
4.0,2.0,105.0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,359.2287908926138
2.0,0.0,75.0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,232.15080430898823
