userId,numberOfPeople,numberOfChildren,squareMeters,homeType,heatingTypes,waterHeaterTypes,coolingType,heatingTypeOther,waterHeaterTypeOther,ELECTRIC_VEHICLE,TV,DISH_WASHER,ELECTRIC_HEATING,SAUNA,HEAT_PUMP,CABLE_BOX,FRIDGE_COMBO,COFFEE_MACHINE,TUMBLE_DRYER,FREEZER,POOL_PUMP,HOB,WASHING_MACHINE,GAME_CONSOLE,REFRIGERATOR,FLOW_WATER_HEATER,TOASTER,HOME_BATTERY,MICROWAVE,IRON,TABLET,HEATING_FAN,GRILL,DVD,COMPUTER,OVEN,ELECTRIC_SHOWER,KETTLE,OTHERS
c61e05076b2c6962586b5a99065f75d69cdc740efa70e8e203e02a2b9b07bbb8,7,2,200,SINGLE_FAMILY,OIL,OIL_HEATING_BOILER,NONE,,,0,3,2,0,0,1,0,1,1,2,1,0,2,2,2,1,0,1,0,1,1,3,0,0,1,1,2,2,0,1
693f83d11788fc893a0497e9a0bec1f98676736fd3ab2d2aad5c1fef52be53cf,2,,100,SINGLE_FAMILY,OIL,OIL_HEATING_BOILER,NONE,,,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0
ee5aff1718d1bdea3c7cf4f5b1c4fac88a4aaa522a20346e8a55db9cc6b81b7a,2,0,125,SINGLE_FAMILY,OIL,CENTRAL_HEATING;OIL_HEATING_BOILER;SOLAR_HEATING,PORTABLE_AIR_CONDITIONER,,,0,2,1,1,0,2,2,0,1,1,2,0,1,1,0,2,0,1,0,1,1,1,0,1,1,1,1,1,0,0
33f0930879e6a7cc323cb6a0a9fdea8e8ff5b416e7b17e9fc3a62c2b03df9f9e,5,2,240,SINGLE_FAMILY,GAS,GAS,NONE,,,0,6,1,1,0,1,0,2,1,1,2,1,2,1,3,0,0,2,1,2,1,4,0,0,1,2,3,2,0,1
52f8dc2aac0de90239e6a62abdbdf3a789b0d7976cf40c3b7273f455ff759668,4,2,200,SINGLE_FAMILY,WOOD;CENTRAL,CENTRAL_HEATING,NONE,,,0,2,1,0,0,1,1,1,1,0,1,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
f520470d1a91fb2961982e9726cae2ba9a4c8c7bf155cfd47729a8924f700fe6,3,2,90,MULTI_FAMILY,CENTRAL,CENTRAL_HEATING,NONE,,,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1
b644e2914d8a77e7b0f6eba6b085de0cc0b5599947dd47825d8c466cefea6647,1,0,51,MULTI_FAMILY,CENTRAL,FLOW_WATER_HEATER,NONE,,,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0
2d602399168161197b79243d0966d074fa06ac6616c8a13f521b1961440b8782,2,0,,MULTI_FAMILY,CENTRAL,FLOW_WATER_HEATER,NONE,,,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1
127a75492cb9789a2bcdf8e3cd76a6285a1845421e591be176436764e7d36d79,2,0,68,MULTI_FAMILY,CENTRAL,CENTRAL_HEATING,NONE,,,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,1,1,1,0,0
9c1d6720acfe75fb7b95c0db77751e1bba6b55b39688a41376422750cc9b1f40,1,0,33,MULTI_FAMILY,OIL,OIL_HEATING_BOILER,NONE,,,0,1,1,0,0,0,0,1,1,1,0,0,1,1,3,0,0,1,0,1,1,1,0,1,0,1,1,1,0,4
